gender,SeniorCitizen,Partner,Dependents,tenure,InternetService,OnlineSecurity,TechSupport,MultipleLines,StreamingTV,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Male,0,No,No,69,DSL,Yes,Yes,No phone service,Yes,Two year,Yes,Bank transfer (automatic),60.05,4176.7,No
Female,1,Yes,No,11,Fiber optic,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,82.9,880.05,No
Female,1,No,No,17,Fiber optic,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),82.65,1470.05,No
Female,0,No,No,8,No,No internet service,No internet service,No,No internet service,One year,Yes,Mailed check,19.2,161.95,No
Male,0,No,No,46,Fiber optic,No,No,Yes,Yes,One year,Yes,Credit card (automatic),94.9,4422.95,No
Male,0,Yes,Yes,68,DSL,No,Yes,Yes,No,One year,Yes,Bank transfer (automatic),75.8,5293.95,Yes
Female,0,No,No,43,Fiber optic,No,No,Yes,Yes,Two year,Yes,Electronic check,104.6,4759.85,Yes
Female,0,No,No,23,DSL,No,No,No phone service,Yes,Month-to-month,Yes,Electronic check,44.95,996.85,No
Female,1,Yes,No,64,Fiber optic,Yes,No,No,No,One year,No,Bank transfer (automatic),97.0,6430.9,No
Male,0,No,No,18,Fiber optic,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),75.9,1373.05,No
Female,0,Yes,Yes,56,Fiber optic,No,Yes,Yes,No,One year,Yes,Credit card (automatic),99.75,5608.4,No
Female,0,No,No,43,DSL,No,Yes,Yes,Yes,One year,No,Credit card (automatic),85.1,3662.25,No
Female,0,No,No,61,DSL,Yes,Yes,Yes,Yes,Two year,No,Electronic check,89.65,5308.7,No
Male,0,No,No,17,Fiber optic,No,Yes,Yes,No,One year,No,Electronic check,86.75,1410.25,No
Female,0,Yes,No,41,Fiber optic,No,Yes,No,No,One year,Yes,Bank transfer (automatic),86.2,3339.05,No
Male,1,Yes,Yes,72,DSL,Yes,Yes,No phone service,Yes,Two year,Yes,Bank transfer (automatic),64.8,4732.35,No
Female,0,No,No,42,DSL,Yes,Yes,No phone service,No,One year,Yes,Electronic check,54.75,2348.45,No
Female,0,No,No,66,DSL,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),90.05,5965.95,No
Male,1,No,No,33,DSL,No,Yes,No phone service,Yes,Month-to-month,Yes,Electronic check,54.6,1803.7,No
Male,0,Yes,Yes,69,Fiber optic,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.45,7007.6,Yes
Male,0,Yes,Yes,60,Fiber optic,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),95.4,5812.0,No
Male,1,Yes,Yes,32,Fiber optic,No,No,No,Yes,Month-to-month,Yes,Mailed check,93.95,2861.45,No
Female,0,Yes,No,46,No,No internet service,No internet service,Yes,No internet service,One year,Yes,Bank transfer (automatic),24.45,1066.15,No
Female,0,Yes,Yes,16,Fiber optic,No,No,No,No,Month-to-month,No,Bank transfer (automatic),73.25,1195.75,No
Female,0,Yes,Yes,22,Fiber optic,No,No,No,No,Month-to-month,No,Electronic check,83.3,1845.9,Yes
Female,0,No,No,7,Fiber optic,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),69.85,515.45,No
Female,1,Yes,No,55,DSL,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),51.65,2838.55,No
Male,0,No,No,12,DSL,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),45.4,518.9,Yes
Male,0,Yes,Yes,72,Fiber optic,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),114.05,8468.2,No
Male,0,Yes,No,35,Fiber optic,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.85,3161.2,No
Female,0,Yes,Yes,16,Fiber optic,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,112.95,1882.55,No
Male,0,Yes,Yes,8,Fiber optic,No,No,No,Yes,Month-to-month,Yes,Electronic check,94.75,759.55,No
Male,0,No,No,7,Fiber optic,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.8,673.25,Yes
Male,1,Yes,Yes,35,DSL,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,76.05,2747.2,No
Male,0,No,Yes,1,Fiber optic,No,No,Yes,No,Month-to-month,Yes,Electronic check,74.35,74.35,Yes
Male,1,Yes,No,61,DSL,No,No,Yes,No,One year,No,Bank transfer (automatic),64.05,3902.6,No
Male,0,Yes,No,2,Fiber optic,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,94.2,167.5,Yes
Female,0,Yes,Yes,6,Fiber optic,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,80.5,502.85,Yes
Female,1,Yes,No,5,Fiber optic,No,No,Yes,No,Month-to-month,Yes,Electronic check,74.35,334.8,Yes
Male,0,No,No,40,Fiber optic,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),104.8,4131.95,Yes
Male,0,Yes,Yes,67,Fiber optic,No,No,Yes,Yes,One year,Yes,Electronic check,105.4,6989.45,No
Male,1,Yes,No,29,DSL,No,No,Yes,No,Month-to-month,Yes,Electronic check,51.6,1442.0,No
Male,1,Yes,Yes,72,Fiber optic,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),115.75,8399.15,No
Male,0,Yes,Yes,58,Fiber optic,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),94.7,5430.35,No
Female,0,Yes,Yes,24,No,No internet service,No internet service,No,No internet service,Two year,Yes,Credit card (automatic),21.1,490.65,No
Male,0,Yes,Yes,70,No,No internet service,No internet service,No,No internet service,Two year,No,Credit card (automatic),20.05,1360.25,No
Female,0,Yes,No,63,Fiber optic,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),81.55,5029.05,No
Female,0,Yes,Yes,72,Fiber optic,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),113.1,8248.5,No
Male,0,No,No,10,Fiber optic,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),86.05,834.1,Yes
Male,0,No,No,15,No,No internet service,No internet service,No,No internet service,Month-to-month,No,Mailed check,19.75,311.6,No
Male,0,Yes,Yes,59,Fiber optic,No,No,Yes,Yes,Two year,Yes,Credit card (automatic),99.5,5861.75,No
Male,0,No,No,7,DSL,No,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),64.3,445.95,No
Female,0,No,No,11,DSL,No,Yes,No,No,One year,No,Credit card (automatic),64.9,697.25,No
Male,0,Yes,No,61,DSL,Yes,Yes,No,Yes,Two year,Yes,Mailed check,81.05,4747.65,No
Male,0,Yes,No,72,Fiber optic,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),111.9,8071.05,No
Male,0,Yes,Yes,63,DSL,Yes,No,Yes,Yes,Two year,No,Credit card (automatic),83.5,5435.0,No
Male,0,No,No,1,DSL,No,No,No,No,Month-to-month,No,Mailed check,45.6,45.6,No
Male,0,No,No,2,No,No internet service,No internet service,No,No internet service,One year,No,Mailed check,19.95,47.7,No
Male,0,No,No,46,Fiber optic,No,Yes,Yes,Yes,Two year,No,Electronic check,108.65,4903.2,No
Male,0,Yes,Yes,38,DSL,Yes,Yes,No,Yes,Two year,No,Credit card (automatic),81.0,3084.9,No
Female,0,No,No,15,DSL,No,No,Yes,No,Month-to-month,No,Mailed check,48.85,631.4,No
Female,1,No,No,66,Fiber optic,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),102.85,6976.75,No
Male,1,Yes,Yes,10,DSL,No,No,No phone service,No,Month-to-month,Yes,Bank transfer (automatic),34.55,,No
Female,0,No,No,62,Fiber optic,Yes,No,Yes,No,One year,Yes,Electronic check,92.05,5755.8,No
Female,0,No,No,20,No,No internet service,No internet service,No,No internet service,Two year,No,Mailed check,19.7,406.95,No
Female,1,Yes,No,66,Fiber optic,No,No,Yes,Yes,One year,No,Credit card (automatic),104.6,6819.45,No
Female,0,Yes,Yes,65,Fiber optic,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,105.5,6985.65,Yes
Male,0,No,No,31,Fiber optic,No,Yes,No,Yes,Two year,No,Bank transfer (automatic),99.45,3109.9,No
Male,0,Yes,Yes,50,DSL,No,Yes,Yes,Yes,One year,Yes,Electronic check,69.65,3442.15,No
Female,0,No,No,3,Fiber optic,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),69.55,222.3,Yes
Male,0,Yes,Yes,35,No,No internet service,No internet service,No,No internet service,Two year,No,Mailed check,20.1,655.3,No
Female,0,No,No,4,DSL,No,No,No phone service,No,Month-to-month,Yes,Mailed check,24.25,96.05,Yes
Female,0,No,No,3,,No,No,No,No,Month-to-month,Yes,Mailed check,74.75,238.1,No
Male,1,No,No,52,DSL,No,No,No phone service,Yes,Month-to-month,Yes,Electronic check,49.15,2550.9,Yes
Female,0,No,No,48,No,No internet service,No internet service,Yes,No internet service,One year,No,Bank transfer (automatic),24.55,1203.95,No
Female,0,No,No,1,Fiber optic,No,No,No,No,Month-to-month,No,Mailed check,71.1,71.1,No
Male,0,No,No,52,DSL,No,No,No phone service,No,One year,No,Mailed check,30.1,1623.4,No
Male,0,No,Yes,47,No,No internet service,No internet service,No,No internet service,One year,No,Credit card (automatic),20.55,1013.05,No
Male,0,Yes,No,72,DSL,No,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),85.15,6316.2,No
Male,0,Yes,Yes,72,DSL,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),66.5,4811.6,No
Male,0,No,No,35,Fiber optic,No,No,Yes,Yes,Month-to-month,No,Electronic check,83.15,2848.45,No
Female,0,No,No,25,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),79.85,2015.35,Yes
Female,0,No,No,65,DSL,Yes,Yes,No,No,Two year,Yes,Mailed check,59.6,3739.8,No
Male,0,Yes,No,29,Fiber optic,No,No,No,No,Month-to-month,Yes,Credit card (automatic),75.3,2263.4,No
Male,0,Yes,No,72,No,No internet service,No internet service,Yes,No internet service,Two year,No,Mailed check,25.4,1710.9,No
Male,0,No,No,32,Fiber optic,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),85.65,2664.3,No
Male,0,Yes,Yes,61,No,No internet service,No internet service,No,No internet service,Two year,No,Credit card (automatic),20.55,1305.95,No
Male,0,No,No,3,DSL,No,No,No,No,Month-to-month,Yes,Electronic check,45.35,141.5,Yes
Male,0,Yes,No,70,Fiber optic,Yes,Yes,No,No,Two year,No,Credit card (automatic),101.0,7085.5,No
Male,1,Yes,Yes,72,Fiber optic,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),114.95,8196.4,No
Male,0,Yes,Yes,70,DSL,Yes,No,No,Yes,Two year,Yes,Credit card (automatic),80.15,5600.15,No
Male,0,Yes,Yes,7,DSL,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),71.35,515.75,No
Male,0,No,No,1,No,No internet service,No internet service,No,No internet service,Month-to-month,No,Mailed check,20.8,20.8,No
Male,0,Yes,Yes,65,No,No internet service,No internet service,No,No internet service,Two year,No,Mailed check,19.9,1292.6,No
Female,0,No,No,1,,No,Yes,No,No,Month-to-month,Yes,Electronic check,52.2,52.2,Yes
Male,0,No,No,72,DSL,Yes,Yes,Yes,No,Two year,No,Bank transfer (automatic),69.65,4908.25,No
Female,0,No,No,6,DSL,No,No,No phone service,Yes,Month-to-month,No,Credit card (automatic),45.0,298.7,No
Female,1,Yes,No,70,Fiber optic,No,No,Yes,No,Two year,Yes,Credit card (automatic),75.65,5411.4,No
Female,0,No,No,10,Fiber optic,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,98.5,1058.25,Yes
Male,0,Yes,No,40,Fiber optic,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,101.3,4113.1,Yes
Male,0,No,No,1,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,69.55,69.55,Yes
Male,0,No,No,70,Fiber optic,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),104.0,7250.15,Yes
Male,0,Yes,Yes,34,DSL,Yes,No,No phone service,No,One year,No,Bank transfer (automatic),30.4,938.65,No
Male,1,No,No,5,No,No internet service,No internet service,No,No internet service,Month-to-month,No,Bank transfer (automatic),20.05,94.15,No
Female,0,No,No,2,Fiber optic,No,No,No,No,Month-to-month,Yes,Mailed check,86.2,178.7,Yes
Male,0,Yes,No,21,Fiber optic,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,111.2,2317.1,Yes
Female,0,No,No,62,No,No internet service,No internet service,Yes,No internet service,Two year,Yes,Credit card (automatic),25.8,1563.95,No
Female,0,Yes,Yes,14,No,No internet service,No internet service,Yes,No internet service,Month-to-month,No,Mailed check,25.55,372.45,No
Male,0,Yes,Yes,34,,No,Yes,No phone service,Yes,Month-to-month,Yes,Electronic check,44.85,1442.6,No
Female,0,Yes,No,50,Fiber optic,Yes,Yes,Yes,Yes,One year,No,Electronic check,108.55,5610.7,Yes
Female,1,No,No,4,Fiber optic,No,No,No,Yes,Month-to-month,Yes,Electronic check,78.85,292.8,Yes
Male,0,No,No,44,No,No internet service,No internet service,No,No internet service,Two year,No,Credit card (automatic),20.4,905.55,No
Female,1,No,No,55,Fiber optic,No,No,Yes,Yes,One year,Yes,Electronic check,100.0,5509.3,Yes
Female,0,Yes,No,72,Fiber optic,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),105.0,7589.8,No
Female,0,Yes,Yes,15,,No internet service,No internet service,No,No internet service,One year,No,Mailed check,20.55,295.95,No
Female,0,Yes,Yes,72,DSL,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),89.8,6510.45,No
Female,0,Yes,No,66,Fiber optic,Yes,Yes,Yes,No,One year,No,Electronic check,89.0,5898.6,No
Male,0,Yes,Yes,72,DSL,Yes,Yes,No phone service,Yes,Two year,Yes,Credit card (automatic),64.8,4719.75,No
Female,0,No,No,5,No,No internet service,No internet service,No,No internet service,Month-to-month,Yes,Mailed check,20.5,104.3,No
Male,0,No,Yes,66,No,No internet service,No internet service,No,No internet service,Two year,No,Credit card (automatic),19.95,1269.1,No
Male,0,No,No,33,DSL,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),54.65,1665.2,No
Male,0,No,No,4,DSL,No,No,No,Yes,Month-to-month,Yes,Electronic check,56.4,234.85,No
Male,0,No,No,19,DSL,No,Yes,No,No,One year,Yes,Bank transfer (automatic),65.35,1231.85,No
Male,0,Yes,Yes,72,Fiber optic,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),106.1,7848.5,No
Female,0,No,No,26,Fiber optic,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.7,2193.0,No
Female,0,Yes,Yes,32,DSL,Yes,Yes,No,No,Month-to-month,No,Bank transfer (automatic),76.3,2404.15,No
Female,0,No,No,13,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,81.15,952.3,Yes
Male,0,No,No,33,Fiber optic,No,Yes,No,No,Two year,No,Bank transfer (automatic),80.6,2651.1,No
Male,0,Yes,No,72,No,No internet service,No internet service,No,No internet service,Two year,No,Credit card (automatic),19.3,1304.8,No
Female,1,Yes,Yes,32,Fiber optic,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,91.35,2896.55,No
Male,1,No,No,35,Fiber optic,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.05,3395.8,Yes
Male,1,No,No,8,Fiber optic,Yes,Yes,No,Yes,Month-to-month,No,Credit card (automatic),100.3,832.35,Yes
Male,1,Yes,No,44,DSL,No,No,No phone service,No,Month-to-month,Yes,Electronic check,30.35,1359.7,Yes
Female,0,No,No,11,Fiber optic,No,No,Yes,No,Month-to-month,No,Electronic check,75.25,888.65,No
Male,1,Yes,No,62,Fiber optic,No,No,Yes,Yes,One year,Yes,Electronic check,103.75,6383.35,Yes
Female,0,No,No,39,DSL,Yes,No,No,No,One year,Yes,Electronic check,47.85,1886.4,No
Female,0,No,No,34,Fiber optic,No,No,No,No,Month-to-month,Yes,Credit card (automatic),70.0,2416.1,Yes
Male,0,Yes,No,72,No,No internet service,No internet service,No,No internet service,Two year,No,Bank transfer (automatic),20.7,1492.1,No
Male,0,No,No,21,No,No internet service,No internet service,No,No internet service,Month-to-month,No,Mailed check,20.0,417.7,No
Male,0,Yes,Yes,32,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.55,3204.65,Yes
Male,1,Yes,No,23,No,No internet service,No internet service,No,No internet service,One year,Yes,Electronic check,20.75,485.2,No
Male,0,No,No,4,DSL,No,Yes,No phone service,No,Month-to-month,Yes,Electronic check,40.05,162.45,No
Female,0,Yes,Yes,39,DSL,Yes,No,No,No,Month-to-month,No,Credit card (automatic),51.05,2066.0,No
Male,0,No,No,37,Fiber optic,No,No,No,No,Month-to-month,Yes,Mailed check,70.35,2552.9,No
Male,1,No,No,8,Fiber optic,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,-1.0,819.4,Yes
Male,0,Yes,Yes,26,Fiber optic,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,83.75,2070.6,Yes
Female,0,Yes,Yes,50,Fiber optic,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),69.75,3557.7,No
Male,0,Yes,Yes,27,DSL,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),71.6,1957.1,No
Female,0,Yes,Yes,14,Fiber optic,No,No,No,No,Month-to-month,No,Electronic check,70.2,1046.5,No
Female,0,No,No,8,DSL,Yes,Yes,No,No,One year,No,Bank transfer (automatic),54.25,447.75,No
Male,0,No,No,3,DSL,No,Yes,No,No,Month-to-month,Yes,Mailed check,50.25,152.3,No
Male,0,No,No,22,DSL,No,Yes,No phone service,Yes,Two year,No,Bank transfer (automatic),56.75,1304.85,No
Female,0,Yes,Yes,59,Fiber optic,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),96.65,5580.8,No
Female,0,No,No,41,,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),114.5,4527.45,Yes
Female,1,No,No,13,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,74.3,940.35,Yes
Male,0,No,No,29,DSL,No,Yes,No,Yes,One year,Yes,Bank transfer (automatic),75.35,2243.9,No
Female,0,Yes,Yes,71,Fiber optic,Yes,Yes,Yes,No,Two year,No,Electronic check,100.45,7159.7,No
Female,0,Yes,No,9,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,79.75,769.1,No
Male,0,Yes,No,32,Fiber optic,No,No,Yes,Yes,Month-to-month ,Yes,Credit card (automatic),98.85,3145.9,No
Male,0,No,No,12,DSL,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),49.05,593.05,No
Male,0,No,Yes,6,No,No internet service,No internet service,No,No internet service,Month-to-month,Yes,Mailed check,20.2,98.35,No
Male,0,No,No,1,DSL,No,No,No phone service,No,Month-to-month,Yes,Electronic check,35.55,35.55,Yes
Female,0,No,No,3,DSL,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,60.25,170.5,No
Male,0,Yes,Yes,13,Fiber optic,No,No,No,Yes,Month-to-month,Yes,Mailed check,96.65,1162.85,Yes
Female,1,Yes,No,3,Fiber optic,No,No,No,Yes,Month-to-month,Yes,Electronic check,80.4,224.05,Yes
Female,1,Yes,No,23,Fiber optic,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,95.1,2326.05,No
Female,0,No,No,12,Fiber optic,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),89.75,1052.4,Yes
Male,0,No,No,26,DSL,No,No,Yes,No,One year,Yes,Credit card (automatic),51.55,1295.4,No
Female,1,Yes,Yes,32,Fiber optic,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.4,3217.65,No
Male,0,No,No,1,No,No internet service,No internet service,No,No internet service,Month-to-month,Yes,Electronic check,19.85,19.85,Yes
Female,0,No,No,14,DSL,No,No,Yes,No,One year,Yes,Mailed check,54.25,773.2,No
