T,RH,AH,PT08_S1_CO,PT08_S2_NMHC,PT08_S3_NOx,PT08_S4_NO2,PT08_S5_O3,NOx_GT,NO2_GT,CO_GT
10.8,57.2,0.7382,954.0,561.0,1496.0,1255.0,612.0,43.0,57.0,0.8
11.3,63.9,0.8554,1112.0,842.0,1015.0,1494.0,680.0,100.0,91.0,-200.0
9.3,72.3,0.8496,858.0,490.0,1707.0,1212.0,378.0,18.0,28.0,0.5
8.1,79.0,0.8544,1038.0,697.0,1260.0,1383.0,605.0,84.0,82.0,1.1
10.6,56.1,0.714,1014.0,798.0,1083.0,1376.0,909.0,99.0,106.0,1.5
16.3,30.8,0.5683,1009.0,916.0,1015.0,1391.0,738.0,103.0,85.0,1.9
14.2,36.8,0.5922,962.0,776.0,1152.0,1279.0,550.0,89.0,75.0,1.3
9.9,50.2,0.6103,972.0,715.0,1237.0,1258.0,644.0,66.0,74.0,1.1
9.4,53.4,0.63,1021.0,776.0,1144.0,1307.0,753.0,94.0,87.0,1.5
17.8,28.4,0.5737,1046.0,883.0,1051.0,1357.0,765.0,113.0,101.0,1.9
9.3,62.2,0.7294,1135.0,827.0,1013.0,1395.0,1070.0,87.0,79.0,1.7
8.2,66.7,0.7276,1151.0,911.0,935.0,1501.0,1075.0,-200.0,-200.0,2.2
9.6,58.5,0.7,870.0,626.0,1325.0,1284.0,755.0,39.0,52.0,0.8
7.4,68.0,0.7043,995.0,691.0,1219.0,1321.0,836.0,91.0,69.0,1.4
15.6,35.0,0.617,1012.0,746.0,1174.0,1301.0,555.0,86.0,86.0,1.4
13.9,33.2,0.5222,975.0,793.0,1133.0,1254.0,637.0,119.0,97.0,1.5
17.5,27.9,0.5517,1010.0,833.0,1070.0,1332.0,561.0,91.0,83.0,1.6
13.1,26.8,0.4023,899.0,630.0,1418.0,1050.0,425.0,57.0,76.0,1.0
12.2,37.2,0.5277,897.0,529.0,1462.0,1101.0,693.0,41.0,69.0,-200.0
11.3,40.3,0.5376,1054.0,779.0,1080.0,1266.0,1013.0,111.0,98.0,1.1
15.7,50.9,0.8997,1224.0,980.0,850.0,1637.0,1055.0,152.0,111.0,2.3
12.0,58.4,0.8164,1029.0,754.0,1098.0,1395.0,749.0,57.0,79.0,1.2
12.0,61.6,0.8593,1143.0,825.0,986.0,1477.0,978.0,96.0,86.0,1.6
9.0,73.1,0.8394,956.0,713.0,1099.0,1422.0,849.0,-200.0,-200.0,0.9
19.7,38.4,0.8743,1094.0,850.0,970.0,1489.0,871.0,130.0,88.0,1.6
16.8,44.0,0.8341,1192.0,1007.0,827.0,1604.0,1223.0,154.0,124.0,2.5
14.1,54.4,0.8701,1139.0,899.0,921.0,1514.0,1067.0,126.0,104.0,2.0
14.5,58.0,0.9488,986.0,651.0,1145.0,1380.0,891.0,60.0,74.0,0.8
20.7,41.7,1.0092,1410.0,1030.0,781.0,1743.0,1372.0,-200.0,-200.0,-200.0
25.1,27.1,0.8496,1398.0,1156.0,812.0,1722.0,1076.0,-200.0,-200.0,-200.0
22.1,36.8,0.9681,1697.0,1471.0,625.0,2153.0,1548.0,-200.0,-200.0,-200.0
18.1,51.3,1.0587,1469.0,1128.0,762.0,1870.0,1207.0,-200.0,-200.0,-200.0
15.3,59.0,1.0181,1130.0,720.0,1063.0,1461.0,828.0,-200.0,-200.0,-200.0
18.1,49.8,1.0272,1275.0,900.0,868.0,1634.0,1057.0,-200.0,-200.0,-200.0
15.3,60.8,1.0501,1188.0,829.0,930.0,1540.0,785.0,-200.0,-200.0,-200.0
15.6,57.4,1.0075,1461.0,1127.0,703.0,1836.0,1451.0,236.0,124.0,3.1
17.9,49.4,1.0064,1378.0,1102.0,742.0,1796.0,1273.0,157.0,116.0,3.1
16.6,55.4,1.0408,1015.0,718.0,1065.0,1428.0,714.0,61.0,71.0,1.0
19.6,41.8,0.9407,1329.0,1119.0,707.0,1823.0,1288.0,182.0,107.0,2.9
20.2,40.1,0.937,1167.0,884.0,881.0,1580.0,931.0,105.0,78.0,1.6
14.2,58.6,0.9443,1000.0,688.0,1257.0,1398.0,426.0,55.0,61.0,0.8
9.3,75.0,0.8799,1020.0,752.0,1074.0,1398.0,839.0,95.0,97.0,1.4
8.1,72.1,0.7798,869.0,642.0,1291.0,1288.0,723.0,69.0,62.0,0.8
9.9,64.3,0.7859,1512.0,1482.0,596.0,2189.0,1605.0,308.0,118.0,5.1
21.5,27.4,0.6941,1121.0,1026.0,865.0,1541.0,958.0,122.0,96.0,2.1
20.6,22.6,0.5432,1144.0,1114.0,845.0,1551.0,1010.0,181.0,128.0,2.8
21.0,25.4,0.6264,1085.0,1004.0,888.0,1454.0,816.0,106.0,95.0,1.9
21.5,24.5,0.6203,1297.0,1287.0,723.0,1798.0,1216.0,192.0,138.0,3.6
19.3,28.6,0.6357,1408.0,1404.0,646.0,1972.0,1463.0,241.0,154.0,4.6
-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,197.0,137.0,3.4
12.0,67.9,0.9523,1176.0,917.0,866.0,1560.0,1151.0,157.0,95.0,2.3
11.5,70.1,0.9503,1116.0,854.0,929.0,1533.0,1034.0,118.0,78.0,1.7
20.6,30.0,0.7213,1032.0,892.0,973.0,1457.0,756.0,101.0,87.0,1.8
21.4,22.7,0.5722,942.0,852.0,1055.0,1318.0,540.0,89.0,89.0,1.4
13.2,50.3,0.7577,1110.0,909.0,916.0,1487.0,984.0,125.0,115.0,2.0
11.8,56.6,0.7833,1220.0,967.0,844.0,1545.0,1219.0,174.0,117.0,2.5
13.0,47.9,0.7116,938.0,706.0,1177.0,1320.0,642.0,47.0,51.0,1.0
15.6,37.5,0.6575,922.0,674.0,1220.0,1205.0,498.0,63.0,78.0,1.1
15.5,36.7,0.6438,925.0,680.0,1223.0,1217.0,481.0,60.0,76.0,1.1
14.5,39.0,0.6428,924.0,648.0,1272.0,1186.0,465.0,63.0,74.0,1.1
13.9,30.9,0.4868,753.0,462.0,1822.0,955.0,274.0,16.0,25.0,0.3
12.8,52.0,0.7643,1172.0,1042.0,797.0,1641.0,1186.0,206.0,120.0,2.7
12.6,50.8,0.7387,1020.0,871.0,956.0,1426.0,911.0,133.0,93.0,1.6
16.3,38.1,0.7006,1009.0,885.0,994.0,1439.0,751.0,112.0,87.0,1.5
16.1,42.8,0.7783,1289.0,1158.0,755.0,1791.0,1196.0,184.0,118.0,3.0
21.1,30.2,0.745,1109.0,935.0,882.0,1518.0,1026.0,147.0,95.0,2.1
21.3,27.3,0.6856,1188.0,1082.0,790.0,1653.0,1077.0,-200.0,-200.0,-200.0
13.8,61.1,0.9595,1406.0,1258.0,636.0,1890.0,1495.0,279.0,116.0,4.1
14.0,76.3,1.2166,1529.0,1309.0,627.0,2083.0,1385.0,270.0,141.0,5.2
12.7,80.6,1.1819,1167.0,904.0,846.0,1627.0,1051.0,169.0,100.0,2.6
12.5,81.8,1.1838,1134.0,863.0,869.0,1599.0,1009.0,120.0,88.0,2.2
15.6,60.2,1.0617,1024.0,795.0,982.0,1501.0,705.0,-200.0,-200.0,-200.0
14.5,72.9,1.195,947.0,649.0,1154.0,1459.0,608.0,-200.0,-200.0,-200.0
14.5,77.2,1.2695,1219.0,849.0,901.0,1664.0,912.0,-200.0,-200.0,-200.0
14.9,74.5,1.253,1217.0,869.0,873.0,1660.0,963.0,-200.0,-200.0,-200.0
15.0,65.2,1.1045,1167.0,945.0,826.0,1702.0,1100.0,-200.0,-200.0,-200.0
14.0,70.9,1.1306,1101.0,852.0,913.0,1655.0,992.0,-200.0,-200.0,-200.0
9.5,79.7,0.9489,806.0,544.0,1429.0,1290.0,449.0,-200.0,-200.0,-200.0
11.0,77.4,1.0135,1430.0,1316.0,638.0,2069.0,1382.0,-200.0,-200.0,-200.0
22.6,39.5,1.0679,1428.0,1437.0,599.0,2156.0,1526.0,-200.0,-200.0,-200.0
14.2,56.7,0.9111,911.0,740.0,1071.0,1412.0,756.0,-200.0,-200.0,-200.0
10.1,71.8,0.888,871.0,694.0,1160.0,1421.0,779.0,-200.0,-200.0,-200.0
27.0,22.2,0.7805,1053.0,953.0,988.0,1483.0,758.0,-200.0,-200.0,-200.0
13.4,59.5,0.9097,834.0,596.0,1276.0,1335.0,727.0,-200.0,-200.0,-200.0
28.1,24.4,0.9138,1201.0,1102.0,814.0,1682.0,1175.0,-200.0,-200.0,-200.0
25.8,24.3,0.794,1433.0,1510.0,661.0,2038.0,1503.0,-200.0,-200.0,-200.0
23.8,29.5,0.8559,1527.0,1664.0,587.0,2238.0,1775.0,-200.0,-200.0,-200.0
14.3,55.4,0.9003,923.0,757.0,1041.0,1418.0,906.0,72.0,67.0,0.8
26.9,25.7,0.8942,1458.0,1350.0,677.0,1947.0,1731.0,240.0,169.0,3.8
30.0,19.4,0.81,1460.0,1438.0,680.0,1953.0,1489.0,260.0,196.0,4.4
21.5,40.8,1.0333,1482.0,1319.0,660.0,1975.0,1703.0,230.0,146.0,4.6
19.2,44.9,0.9875,1294.0,1083.0,770.0,1687.0,1321.0,121.0,108.0,2.2
24.3,41.8,1.2561,1338.0,1016.0,798.0,1766.0,1194.0,98.0,95.0,2.0
27.0,31.8,1.1176,1278.0,1003.0,845.0,1691.0,909.0,99.0,95.0,1.9
12.4,64.1,0.9209,984.0,707.0,1131.0,1359.0,494.0,71.0,73.0,1.3
12.5,50.9,0.7346,763.0,471.0,1783.0,1098.0,305.0,14.0,20.0,0.3
14.4,45.9,0.7476,833.0,553.0,1476.0,1180.0,373.0,40.0,45.0,0.6
17.9,30.7,0.6234,830.0,596.0,1389.0,1145.0,371.0,54.0,52.0,0.8
15.5,37.0,0.6447,940.0,769.0,1103.0,1310.0,731.0,100.0,90.0,1.4
14.1,44.9,0.7206,893.0,703.0,1192.0,1283.0,515.0,55.0,57.0,1.1
18.3,32.3,0.676,941.0,782.0,1102.0,1328.0,668.0,110.0,83.0,1.4
19.7,32.5,0.7396,942.0,785.0,1065.0,1365.0,571.0,86.0,77.0,1.3
17.8,37.5,0.7568,1163.0,1068.0,811.0,1616.0,977.0,135.0,111.0,3.0
16.0,41.4,0.7487,924.0,709.0,1158.0,1318.0,610.0,63.0,75.0,1.2
15.5,47.3,0.8282,930.0,670.0,1143.0,1339.0,746.0,58.0,68.0,0.7
24.8,25.3,0.7793,1066.0,931.0,979.0,1474.0,757.0,118.0,81.0,1.7
27.2,22.1,0.7811,1145.0,1066.0,903.0,1592.0,885.0,120.0,99.0,2.2
18.9,40.6,0.8771,1078.0,932.0,905.0,1511.0,951.0,99.0,100.0,1.8
17.4,46.3,0.9112,1055.0,899.0,880.0,1504.0,980.0,72.0,83.0,1.3
16.1,54.8,0.996,1486.0,1351.0,571.0,2112.0,1692.0,274.0,100.0,4.2
28.1,26.9,1.0094,1311.0,1170.0,748.0,1787.0,1219.0,119.0,108.0,2.4
17.9,56.2,1.142,1216.0,960.0,788.0,1662.0,1256.0,87.0,92.0,1.6
15.9,60.1,1.0806,926.0,639.0,1115.0,1409.0,814.0,34.0,54.0,0.6
23.8,30.2,0.8771,1156.0,1009.0,875.0,1583.0,1204.0,145.0,118.0,2.1
25.4,25.0,0.7966,1042.0,941.0,971.0,1491.0,871.0,110.0,91.0,1.5
24.9,29.9,0.9325,1398.0,1360.0,656.0,2037.0,1439.0,205.0,129.0,3.8
20.2,48.6,1.1354,1664.0,1519.0,553.0,2312.0,1820.0,271.0,145.0,5.4
18.2,58.8,1.2173,1398.0,1189.0,646.0,1931.0,1577.0,180.0,112.0,2.9
16.2,76.9,1.4051,1297.0,1019.0,733.0,1823.0,1217.0,137.0,85.0,2.3
15.7,78.4,1.3917,1097.0,809.0,897.0,1628.0,1050.0,80.0,74.0,1.2
18.7,57.6,1.2323,1405.0,1295.0,638.0,2065.0,1378.0,161.0,103.0,3.4
17.6,65.0,1.2945,1381.0,1199.0,685.0,1970.0,1365.0,209.0,117.0,3.3
19.1,61.1,1.3345,1449.0,1282.0,625.0,2100.0,1569.0,254.0,133.0,4.4
17.8,55.5,1.1174,1085.0,954.0,866.0,1656.0,871.0,109.0,100.0,2.0
22.6,39.3,1.06,1269.0,1047.0,809.0,1721.0,1080.0,144.0,114.0,2.3
28.4,23.6,0.8983,1051.0,1008.0,911.0,1561.0,921.0,102.0,90.0,1.7
30.2,20.5,0.8672,1203.0,1204.0,790.0,1744.0,1079.0,129.0,102.0,2.4
15.6,81.0,1.4216,881.0,546.0,1335.0,1465.0,458.0,21.0,28.0,-200.0
19.9,57.1,1.3158,1197.0,1082.0,753.0,1851.0,971.0,140.0,97.0,2.6
19.5,55.7,1.2512,1077.0,1001.0,836.0,1764.0,717.0,67.0,59.0,1.6
14.6,77.1,1.2727,927.0,682.0,1109.0,1526.0,580.0,56.0,54.0,0.8
16.3,68.6,1.2657,1172.0,1085.0,737.0,1876.0,1102.0,214.0,123.0,2.9
17.3,62.6,1.226,1264.0,1279.0,631.0,2049.0,1223.0,224.0,120.0,3.9
17.7,56.9,1.1392,981.0,978.0,857.0,1682.0,835.0,79.0,72.0,1.6
12.7,71.6,1.0486,743.0,502.0,1635.0,1292.0,355.0,-200.0,-200.0,0.4
13.6,65.5,1.0184,1182.0,1119.0,733.0,1831.0,1032.0,219.0,121.0,3.0
12.3,78.3,1.1154,1191.0,1074.0,741.0,1816.0,1038.0,239.0,128.0,3.1
13.7,65.8,1.0254,1034.0,935.0,870.0,1605.0,941.0,122.0,98.0,2.2
14.1,64.9,1.0405,1021.0,871.0,938.0,1586.0,805.0,93.0,81.0,1.8
12.7,70.4,1.0294,1205.0,1222.0,684.0,1911.0,1127.0,222.0,133.0,4.3
13.6,59.7,0.9271,969.0,791.0,1084.0,1446.0,711.0,102.0,80.0,2.2
14.7,63.1,1.0488,1084.0,852.0,910.0,1575.0,959.0,-200.0,-200.0,-200.0
13.8,72.3,1.1361,1204.0,982.0,791.0,1739.0,1067.0,-200.0,-200.0,-200.0
17.8,38.5,0.7763,1028.0,961.0,913.0,1502.0,649.0,-200.0,-200.0,-200.0
13.1,62.6,0.9419,922.0,737.0,1050.0,1414.0,882.0,-200.0,-200.0,-200.0
17.8,46.7,0.9466,967.0,753.0,1048.0,1420.0,544.0,-200.0,-200.0,-200.0
13.8,62.1,0.9721,1101.0,933.0,845.0,1600.0,1022.0,-200.0,-200.0,-200.0
14.9,57.6,0.9684,875.0,654.0,1172.0,1375.0,683.0,-200.0,-200.0,-200.0
20.8,40.6,0.9888,1105.0,1080.0,751.0,1758.0,981.0,139.0,104.0,2.2
15.8,56.2,1.0033,1025.0,963.0,842.0,1621.0,917.0,106.0,95.0,1.7
14.2,64.1,1.0346,959.0,812.0,961.0,1518.0,910.0,77.0,78.0,0.9
14.3,61.9,1.0031,787.0,549.0,1366.0,1317.0,596.0,28.0,43.0,0.2
11.3,70.4,0.9443,1035.0,917.0,882.0,1606.0,968.0,135.0,64.0,1.4
24.2,31.2,0.9257,1105.0,1035.0,826.0,1643.0,877.0,117.0,86.0,2.0
18.1,58.7,1.2072,1335.0,1122.0,673.0,1840.0,1424.0,167.0,114.0,2.7
15.6,62.2,1.0961,872.0,632.0,1132.0,1403.0,768.0,37.0,47.0,-200.0
14.5,65.7,1.0804,1152.0,964.0,800.0,1705.0,1096.0,134.0,73.0,1.5
17.7,56.3,1.13,1222.0,1084.0,727.0,1797.0,1108.0,157.0,116.0,2.8
16.2,53.7,0.9799,835.0,560.0,1409.0,1317.0,407.0,41.0,49.0,0.4
27.1,21.6,0.7618,1048.0,1068.0,869.0,1573.0,993.0,147.0,110.0,2.1
20.8,34.5,0.8365,1135.0,1065.0,803.0,1630.0,1317.0,138.0,111.0,2.3
15.3,49.7,0.8552,873.0,704.0,1091.0,1322.0,756.0,41.0,49.0,0.6
16.0,47.4,0.8564,1065.0,942.0,890.0,1576.0,1067.0,106.0,68.0,1.4
17.6,43.3,0.8647,1187.0,1104.0,727.0,1721.0,1391.0,208.0,108.0,2.6
25.6,23.5,0.7611,1025.0,955.0,997.0,1457.0,834.0,111.0,94.0,1.7
27.4,20.5,0.7379,985.0,903.0,1059.0,1437.0,712.0,90.0,86.0,1.4
19.6,37.0,0.8325,1183.0,1049.0,762.0,1594.0,1290.0,146.0,112.0,2.6
15.9,44.7,0.8009,875.0,721.0,1083.0,1328.0,683.0,-200.0,-200.0,0.8
13.8,51.4,0.8059,918.0,721.0,1069.0,1353.0,785.0,57.0,58.0,0.8
25.5,21.1,0.677,1053.0,970.0,930.0,1473.0,991.0,138.0,105.0,2.0
30.6,19.4,0.8348,941.0,753.0,1173.0,1311.0,468.0,45.0,56.0,0.9
19.1,25.9,0.5673,835.0,691.0,1265.0,1182.0,517.0,52.0,67.0,0.9
17.4,30.2,0.5945,771.0,533.0,1566.0,1110.0,360.0,-200.0,-200.0,0.4
15.8,36.5,0.6535,930.0,684.0,1059.0,1220.0,779.0,65.0,75.0,0.5
17.6,35.0,0.6965,1196.0,1131.0,775.0,1675.0,1243.0,216.0,113.0,2.6
18.5,31.2,0.6611,1010.0,937.0,945.0,1444.0,949.0,180.0,142.0,2.0
26.7,17.1,0.5909,1106.0,1097.0,902.0,1552.0,941.0,135.0,105.0,2.4
20.8,32.3,0.7813,839.0,609.0,1276.0,1286.0,643.0,36.0,59.0,0.4
21.2,32.9,0.8178,812.0,521.0,1413.0,1233.0,469.0,-200.0,-200.0,0.2
27.4,22.8,0.8219,1138.0,1015.0,854.0,1604.0,1115.0,140.0,103.0,1.9
31.7,19.5,0.8981,1158.0,981.0,862.0,1573.0,775.0,96.0,105.0,1.9
19.3,43.0,0.9535,1069.0,887.0,859.0,1542.0,1041.0,70.0,84.0,1.2
19.2,43.6,0.9591,940.0,724.0,1012.0,1407.0,867.0,44.0,68.0,0.7
18.4,45.7,0.9599,901.0,653.0,1094.0,1367.0,822.0,41.0,65.0,0.5
31.0,22.9,1.0144,1233.0,1154.0,746.0,1740.0,1000.0,116.0,115.0,2.2
31.6,21.0,0.959,1215.0,1116.0,784.0,1715.0,852.0,116.0,125.0,2.3
30.4,24.7,1.0526,1251.0,1165.0,747.0,1774.0,975.0,144.0,135.0,2.5
19.8,46.2,1.056,885.0,565.0,1217.0,1329.0,542.0,-200.0,-200.0,0.3
16.3,51.6,0.9461,889.0,633.0,1123.0,1344.0,683.0,-200.0,-200.0,0.3
18.2,46.2,0.9575,1522.0,1509.0,543.0,2275.0,1828.0,303.0,126.0,4.8
28.3,27.8,1.0539,1154.0,912.0,872.0,1605.0,825.0,78.0,76.0,1.4
19.8,54.5,1.2488,1507.0,1311.0,608.0,2107.0,1499.0,177.0,114.0,4.1
26.8,28.1,0.9785,1030.0,778.0,1071.0,1452.0,591.0,67.0,69.0,1.2
21.4,46.6,1.1764,1094.0,815.0,934.0,1563.0,852.0,74.0,69.0,1.0
15.8,45.2,0.8052,774.0,500.0,1536.0,1169.0,352.0,13.0,21.0,0.2
16.5,36.2,0.6752,864.0,642.0,1288.0,1255.0,441.0,72.0,69.0,0.5
18.4,24.6,0.5169,862.0,751.0,1154.0,1213.0,617.0,73.0,77.0,0.7
16.7,28.3,0.5316,859.0,727.0,1120.0,1187.0,753.0,65.0,84.0,0.5
15.2,31.0,0.5329,1002.0,932.0,949.0,1405.0,917.0,101.0,82.0,1.1
28.3,9.9,0.3754,1153.0,1253.0,815.0,1541.0,1381.0,289.0,155.0,3.2
32.3,13.3,0.6303,1027.0,1041.0,1237.0,1345.0,915.0,128.0,112.0,1.6
31.0,15.9,0.7039,1120.0,1238.0,1023.0,1591.0,1126.0,-200.0,-200.0,-200.0
17.0,46.0,0.883,1413.0,1424.0,739.0,2102.0,1544.0,-200.0,-200.0,-200.0
15.5,51.7,0.9019,814.0,678.0,1276.0,1339.0,626.0,-200.0,-200.0,-200.0
24.3,35.1,1.0477,1050.0,963.0,998.0,1609.0,901.0,-200.0,-200.0,-200.0
23.6,41.0,1.1786,1148.0,1067.0,887.0,1790.0,956.0,133.0,105.0,2.1
21.5,48.1,1.2148,1176.0,1114.0,843.0,1805.0,1102.0,141.0,114.0,2.2
19.6,47.0,1.0606,1092.0,1024.0,937.0,1706.0,968.0,128.0,109.0,2.0
17.7,51.9,1.0379,853.0,727.0,1179.0,1417.0,621.0,44.0,59.0,-200.0
20.8,36.6,0.8878,862.0,721.0,1329.0,1335.0,522.0,72.0,66.0,0.7
22.4,31.3,0.8365,899.0,803.0,1221.0,1426.0,596.0,87.0,83.0,0.8
17.0,47.7,0.9185,815.0,774.0,1113.0,1374.0,712.0,43.0,55.0,-200.0
17.3,47.6,0.9295,781.0,645.0,1295.0,1320.0,575.0,32.0,45.0,0.1
20.2,37.8,0.8837,803.0,635.0,1417.0,1272.0,537.0,60.0,67.0,0.3
27.4,23.8,0.858,990.0,930.0,1045.0,1506.0,739.0,89.0,95.0,1.1
19.3,68.8,1.519,1035.0,878.0,977.0,1694.0,825.0,78.0,69.0,0.8
17.1,79.8,1.542,1313.0,1283.0,671.0,2180.0,1299.0,236.0,100.0,2.7
24.8,47.4,1.4628,1278.0,1213.0,733.0,2041.0,1293.0,183.0,95.0,2.5
21.0,66.9,1.6436,1355.0,1289.0,678.0,2158.0,1391.0,221.0,88.0,3.7
20.2,65.2,1.5251,1171.0,1088.0,822.0,1889.0,1132.0,168.0,81.0,2.2
18.9,79.0,1.704,893.0,741.0,1056.0,1664.0,743.0,31.0,36.0,-200.0
17.6,67.6,1.3479,1012.0,982.0,882.0,1796.0,1024.0,184.0,73.0,-200.0
22.6,45.9,1.2418,1234.0,1318.0,714.0,2108.0,2202.0,243.0,108.0,-200.0
27.4,31.0,1.1184,987.0,1009.0,914.0,1697.0,1227.0,-200.0,-200.0,-200.0
23.0,43.1,1.1993,951.0,892.0,1015.0,1611.0,786.0,-200.0,-200.0,-200.0
22.1,43.9,1.1521,944.0,891.0,1016.0,1593.0,844.0,-200.0,-200.0,-200.0
21.2,47.6,1.1799,880.0,799.0,1097.0,1533.0,724.0,-200.0,-200.0,-200.0
25.7,31.8,1.0317,1116.0,1226.0,792.0,1938.0,1038.0,-200.0,-200.0,3.6
20.7,50.0,1.203,937.0,890.0,970.0,1625.0,877.0,-200.0,-200.0,1.5
19.3,57.3,1.265,858.0,757.0,1066.0,1542.0,904.0,57.0,71.0,0.7
30.1,25.4,1.0641,841.0,811.0,1135.0,1463.0,609.0,61.0,62.0,1.0
21.6,45.3,1.1533,784.0,638.0,1314.0,1412.0,529.0,51.0,54.0,0.7
25.9,28.8,0.9475,734.0,603.0,1471.0,1303.0,450.0,40.0,48.0,0.5
23.7,36.8,1.0609,906.0,838.0,1084.0,1547.0,694.0,117.0,88.0,1.3
33.7,21.3,1.0988,1039.0,1180.0,833.0,1815.0,1047.0,184.0,127.0,2.5
21.7,50.8,1.3019,942.0,846.0,980.0,1615.0,905.0,78.0,92.0,1.3
19.6,57.1,1.2851,785.0,640.0,1265.0,1467.0,588.0,35.0,40.0,0.5
35.9,20.8,1.2103,1078.0,1121.0,818.0,1806.0,963.0,149.0,119.0,2.3
