sex,age,address,Medu,Fedu,studytime,failures,schoolsup,famsup,paid,higher,internet,goout,health,absences,at_risk
F,15,U,4,4,1,0,yes,yes,yes,yes,yes,4,5,0.0,0
F,15,U,3,3,1,0,no,no,yes,yes,yes,4,1,6.0,0
F,16,U,2,1,2,0,no,no,yes,yes,yes,4,2,8.0,0
F,15,U,4,3,2,0,no,yes,yes,yes,yes,2,1,0.0,0
M,15,U,4,4,2,0,no,yes,no,yes,no,2,5,4.0,0
M,15,U,1,2,2,0,yes,yes,no,yes,yes,2,5,2.0,1
F,16,U,4,2,2,0,no,yes,no,yes,yes,3,5,2.0,0
F,16,R,4,4,2,0,no,yes,no,yes,no,4,4,6.0,0
F,16,U,1,1,1,0,yes,yes,no,yes,yes,5,5,6.0,0
F,16,U,1,2,2,0,yes,no,no,yes,yes,3,1,4.0,1
F,16,U,4,3,3,0,yes,yes,yes,yes,,4,4,2.0,1
F,15,U,4,3,2,0,yes,no,no,yes,yes,4,2,0.0,0
F,16,U,4,3,2,0,no,yes,no,yes,yes,3,1,2.0,0
M,15,U,4,4,4,0,no,yes,no,yes,yes,3,3,4.0,0
F,16,U,3,1,4,0,yes,yes,yes,yes,yes,3,5,4.0,1
F,15,R,2,2,2,0,yes,yes,yes,yes,yes,3,4,2.0,1
F,15,R,3,1,4,0,no,yes,no,yes,yes,2,3,12.0,0
M,16,U,3,1,4,0,no,yes,yes,yes,yes,2,5,0.0,0
M,15,U,4,2,4,0,no,no,no,yes,yes,3,3,0.0,0
F,15,R,1,1,2,2,yes,yes,no,yes,yes,4,5,-1.0,1
M,16,U,3,1,1,0,no,no,no,yes,no,2,5,2.0,0
F,16,U,3,3,2,0,yes,yes,yes,yes,yes,3,5,54.0,0
M,15,U,4,3,2,0,no,yes,yes,yes,yes,3,5,6.0,0
M,15,U,4,0,4,0,no,no,no,yes,,3,1,8.0,0
F,16,U,2,2,4,0,no,no,yes,yes,yes,3,3,,0
M,17,U,2,1,1,3,yes,yes,no,no,yes,1,3,2.0,0
F,16,U,3,4,2,0,no,yes,no,yes,yes,3,3,12.0,1
M,15,U,2,3,1,0,yes,yes,yes,yes,yes,2,3,2.0,0
M,15,U,2,3,3,0,yes,no,yes,yes,yes,2,5,4.0,0
F,15,U,3,2,2,0,no,yes,yes,yes,yes,4,5,10.0,1
M,15,U,2,2,2,0,no,no,yes,yes,yes,3,4,4.0,0
F,15,U,1,1,2,0,no,yes,no,yes,yes,2,4,2.0,0
F,15,U,4,4,2,2,no,no,yes,yes,yes,4,5,6.0,1
F,16,U,2,2,2,0,no,yes,no,yes,no,4,2,4.0,1
F,15,U,4,2,3,0,no,yes,no,yes,yes,3,1,4.0,0
M,16,U,2,2,2,1,no,no,yes,yes,yes,2,3,12.0,0
M,16,U,4,4,2,0,no,yes,no,yes,no,3,5,999.0,1
F,16,U,3,3,3,0,no,yes,yes,yes,yes,3,4,0.0,1
F,15,U,4,3,1,0,no,no,yes,yes,yes,5,1,4.0,0
F,16,U,3,1,2,0,yes,yes,no,yes,no,3,2,4.0,1
F,16,U,4,2,2,0,no,yes,yes,yes,yes,3,1,0.0,0
M,15,U,2,2,4,0,no,yes,no,yes,yes,4,4,6.0,0
F,15,R,1,1,4,1,yes,yes,yes,yes,yes,2,1,2.0,0
M,16,R,4,3,1,0,yes,yes,no,yes,yes,3,4,2.0,0
F,16,U,2,1,2,0,no,yes,yes,yes,no,5,5,2.0,0
F,16,U,4,4,1,0,no,no,no,yes,yes,4,1,6.0,0
F,16,U,4,3,3,0,yes,yes,yes,yes,yes,5,3,0.0,1
M,16,U,4,4,1,0,yes,yes,yes,yes,yes,5,4,14.0,1
M,16,U,4,4,3,0,no,yes,no,yes,yes,3,4,0.0,0
M,15,U,4,4,1,0,no,yes,no,yes,yes,3,5,4.0,0
F,15,U,3,2,2,0,yes,yes,yes,yes,yes,5,2,26.0,1
M,15,U,3,4,2,0,no,yes,yes,yes,yes,4,1,0.0,0
F,15,U,3,3,4,0,yes,no,no,YES,no,3,4,10.0,0
F,15,U,2,2,4,0,yes,yes,yes,yes,yes,2,3,8.0,1
M,16,U,3,3,3,0,no,yes,no,yes,yes,3,5,2.0,0
M,15,R,4,4,4,0,no,yes,yes,yes,yes,5,1,6.0,0
F,16,U,4,4,3,0,no,yes,yes,yes,yes,5,4,4.0,0
M,15,U,4,4,1,0,no,no,no,yes,yes,3,4,6.0,0
F,16,R,3,3,3,1,yes,yes,no,yes,yes,2,2,0.0,0
F,16,U,2,2,2,1,yes,no,no,yes,yes,2,5,6.0,0
M,15,U,4,2,1,0,no,no,no,yes,yes,2,3,10.0,0
M,15,R,2,1,2,0,no,no,no,yes,yes,2,5,8.0,1
M,16,U,4,4,2,0,no,yes,no,yes,yes,4,5,2.0,0
M,15,U,4,4,2,0,no,yes,no,yes,no,3,2,2.0,0
M,16,U,3,3,1,0,no,no,no,yes,yes,2,5,0.0,0
M,17,R,1,3,2,1,no,yes,no,yes,yes,4,5,20.0,1
M,15,U,3,4,1,0,no,no,no,Yes,yes,3,4,6.0,0
F,15,U,1,2,2,0,no,no,no,yes,yes,3,1,2.0,0
M,15,U,2,2,4,0,no,yes,yes,yes,yes,4,5,6.0,0
F,16,U,2,4,2,0,no,yes,yes,yes,yes,2,5,2.0,0
M,16,U,4,4,1,0,no,yes,no,yes,yes,4,5,18.0,0
F,16,U,2,2,2,0,no,no,yes,yes,yes,4,5,0.0,1
M,15,U,3,4,1,0,yes,no,no,yes,yes,5,5,0.0,0
F,15,U,3,4,2,0,yes,no,no,yes,yes,2,1,-1.0,0
F,19,U,0,1,2,3,no,yes,no,no,no,2,5,2.0,1
M,18,R,2,2,1,2,no,yes,no,yes,yes,3,4,0.0,1
M,16,R,4,4,1,0,no,no,yes,yes,yes,5,4,8.0,0
F,15,R,3,4,3,2,no,yes,no,yes,yes,2,5,0.0,1
F,15,U,1,1,1,0,no,yes,no,yes,yes,3,4,0.0,1
F,17,U,2,2,1,0,no,yes,no,yes,yes,4,5,12.0,0
F,16,U,3,4,1,0,no,no,no,yes,yes,1,5,16.0,0
M,15,R,3,4,2,0,no,yes,no,yes,,3,5,0.0,1
F,15,U,4,4,3,0,no,yes,no,yes,yes,3,5,0.0,1
M,99,R,3,4,2,0,no,no,no,yes,no,5,5,0.0,1
F,16,U,3,3,1,2,no,yes,no,yes,yes,2,5,0.0,1
M,16,U,1,1,2,1,no,no,no,yes,no,4,5,0.0,0
F,15,U,4,4,1,0,no,no,no,yes,yes,2,5,0.0,0
M,15,U,4,3,4,0,yes,yes,no,yes,,2,3,0.0,1
M,16,U,2,2,1,2,no,yes,no,yes,yes,3,2,8.0,1
F,15,U,4,4,3,0,no,yes,yes,yes,yes,2,5,2.0,0
F,16,U,1,1,1,0,no,no,no,yes,yes,4,1,2.0,0
M,17,U,2,1,1,3,no,yes,no,yes,yes,5,5,0.0,1
F,15,U,1,1,2,0,no,yes,yes,yes,yes,2,5,0.0,0
F,15,U,3,2,2,3,no,yes,no,yes,yes,2,3,0.0,1
F,15,U,1,2,2,0,no,yes,yes,yes,yes,2,5,2.0,0
M,16,U,4,4,1,0,no,yes,no,no,yes,2,5,0.0,1
M,15,U,2,1,1,3,no,no,no,yes,yes,5,5,0.0,0
M,18,U,1,1,1,3,no,no,no,no,yes,5,4,0.0,1
M,16,U,2,1,1,1,Yes,no,no,yes,no,4,5,6.0,0
F,15,R,3,3,3,2,no,yes,yes,yes,yes,1,3,8.0,0
M,19,U,3,2,1,3,no,yes,no,no,yes,4,4,0.0,1
F,17,U,4,4,1,0,yes,yes,no,yes,no,1,4,0.0,0
M,15,R,2,3,2,0,yes,no,yes,yes,no,4,1,2.0,1
M,17,R,1,2,1,0,no,no,no,yes,no,2,5,8.0,0
F,18,R,1,1,1,3,no,yes,no,yes,no,5,4,6.0,0
M,16,R,2,2,1,0,no,no,no,yes,no,2,3,2.0,0
M,16,U,3,3,2,1,no,yes,yes,yes,yes,5,5,4.0,0
M,17,R,2,1,1,2,no,no,no,no,yes,2,5,0.0,1
M,15,R,3,2,2,2,yes,yes,no,yes,yes,4,3,6.0,1
M,16,U,1,2,1,1,no,no,no,yes,no,4,5,0.0,1
M,17,U,1,3,1,0,no,no,no,no,yes,3,2,2.0,0
M,17,R,1,1,2,3,no,no,no,no,no,5,5,,1
M,16,U,3,2,1,1, yes,yes,no,no,no,2,2,16.0,0
M,16,U,2,2,2,0,no,no,no,no,yes,5,4,,0
F,16,U,4,2,2,0,no,no,yes,yes,yes,3,3,0.0,0
F,16,U,2,2,2,0,no,yes,yes,Yes,yes,5,4,0.0,1
F,16,U,4,4,2,0,no,yes,yes,yes,yes,2,3,0.0,0
M,16,U,3,4,1,2,no,yes,no,yes,,5,2,0.0,1
M,16,U,1,0,2,0,no,yes,yes,yes,yes,2,3,2.0,0
M,17,U,4,4,2,0,no,yes,yes,yes,yes,4,5,0.0,0
F,16,U,1,3,2,3,no,no,no,yes,yes,5,3,0.0,1
F,16,U,3,3,2,0,no,yes,yes,yes,yes,5,4,4.0,1
M,17,U,4,3,2,0,no,no,yes,yes,yes,4,4,4.0,1
F,16,U,2,2,2,0,no,no,yes,yes,yes,4,5,999.0,0
M,17,U,3,3,2,0,no,no,no,yes,yes,4,4,,1
M,16,R,4,2,1,0,no,yes,no,yes,yes,3,3,10.0,1
M,17,U,4,3,2,0,no,yes,no,yes,yes,3,2,4.0,0
M,16,U,4,3,2,0, yes,yes,yes,yes,yes,3,3,10.0,1
M,16,U,3,3,2,0,no,no,yes,yes,yes,3,3,2.0,0
F,17,U,2,4,2,0,no,yes,no,yes,,2,5,0.0,0
F,17,U,3,3,2,0,no,yes,no,YES,yes,3,1,56.0,1
F,16,U,3,2,2,0,no,yes,yes,yes,yes,2,1,999.0,0
M,17,U,3,3,2,0,no,yes,no,yes,yes,4,4,12.0,0
M,16,U,1,2,1,0,no,yes,yes,yes,yes,3,3,2.0,0
M,16,U,2,1,2,0,no,no,yes,yes,yes,3,5,0.0,0
F,17,U,3,3,2,0,no,yes,no,yes,yes,3,3,6.0,1
M,17,R,1,2,2,0,no,no,no,yes,no,3,3,4.0,0
F,16,U,2,3,2,0,no,no,no,yes,yes,3,2,10.0,0
F,17,U,1,1,2,0,no,no,no,yes,yes,3,3,0.0,1
M,17,U,1,2,2,0,no,no,yes,yes,yes,4,5,12.0,1
M,16,R,3,3,1,0,no,yes,no,yes,yes,2,5,8.0,0
M,16,U,2,3,1,0,no,no,no,yes,,3,3,0.0,0
F,17,U,2,4,2,0,no,no,no,yes,yes,2,5,0.0,0
M,17,U,4,4,1,0,no,no,no,yes,yes,3,5,4.0,0
M,16,R,3,3,1,0,no,yes,yes,yes,yes,4,3,8.0,0
F,17,U,4,4,1,1,no,yes,no,yes,yes,4,2,24.0,0
F,16,U,4,4,2,0,no,yes,yes,yes,yes,2,3,0.0,0
F,16,U,4,3,2,0,no,yes,no,yes,yes,5,2,2.0,0
F,16,U,2,3,2,0,yes,yes,yes,yes,no,3,4,,0
F,17,U,1,1,2,0,no,yes,yes,yes,no,4,1,4.0,0
F,17,R,2,2,1,0,no,yes,no,yes,yes,2,3,,1
F,16,R,2,2,4,0,no,yes,yes,yes,yes,5,5,6.0,0
F,17,U,3,4,3,1,no,yes,yes,yes,yes,3,5,28.0,1
F,16,U,3,1,2,3,no,yes,yes,yes,yes,3,4,5.0,1
F,16,U,4,3,2,0,no,no,yes,yes,yes,2,1,10.0,0
F,16,U,1,1,1,0,no,yes,yes,yes,no,2,5,6.0,0
F,17,R,4,3,3,0,no,yes,yes,yes,yes,2,4,6.0,1
F,19,U,3,3,4,0,no,yes,yes,yes,yes,3,3,10.0,1
M,17,U,4,4,2,0,no,yes,yes,yes,yes,5,3,13.0,0
F,16,U,2,2,2,0,yes,yes,yes,yes,yes,4,4,0.0,0
M,18,U,2,2,2,1,no,yes,yes,yes,yes,4,5,15.0,1
F,17,R,4,4,1,0,no,yes,yes,yes,no,1,3,12.0,0
F,17,U,3,2,2,0,no,no,yes,yes,yes,4,1,2.0,0
F,17,U,4,3,2,2,no,no,yes,yes,yes,5,1,22.0,1
M,18,U,3,3,2,1,no,yes,yes,yes,yes,4,4,13.0,1
F,17,U,2,3,1,0,no,yes,yes,yes,no,3,3,3.0,1
F,17,U,2,2,3,0,no,yes,yes,yes,yes,3,4,4.0,0
F,17,R,2,1,2,0,no,yes,no,yes,yes,5,5,2.0,1
F,17,U,1,1,3,1,no,yes,no,yes,no,4,5,0.0,1
F,16,U,2,3,2,0,yes,no,no,yes,yes,1,3,2.0,0
M,18,U,2,2,2,0,no,yes,yes,yes,yes,3,4,0.0,0
F,16,U,4,4,3,0,no,yes,no,yes,yes,2,5,0.0,0
F,18,R,3,1,2,1,no,no,no,yes,yes,3,4,16.0,1
F,17,U,3,2,2,0,no,no,no,yes,yes,4,3,10.0,0
M,17,U,2,3,2,0,no,yes,yes,yes,yes,3,3,2.0,0
M,18,U,2,1,2,0,yes,yes,yes,yes,yes,2,3,14.0,1
F,17,U,2,1,3,0,no,no,no,yes,yes,3,3,10.0,0
F,17,U,4,3,2,0,no,no,no,yes,yes,3,3,14.0,0
M,17,R,2,2,2,0,no,yes,yes,yes,yes,2,1,4.0,0
M,17,U,4,4,2,0,yes,yes,no,yes,yes,5,2,14.0,1
M,16,U,4,4,2,0,no,yes,yes,yes,yes,4,1,2.0,0
M,16,U,1,1,2,0,no,yes,yes,yes,yes,2,5,18.0,1
M,16,U,3,2,3,0,no,no,no,yes,yes,3,2,10.0,0
M,17,U,2,2,2,0,no,no,yes,yes,yes,2,4,4.0,0
F,16,U,2,1,1,0,no,no,no,yes,,2,5,20.0,0
F,17,R,2,1,2,0,no,no,no,yes,no,1,3,2.0,0
M,18,U,2,2,2,1,no,no,no,no,yes,4,2,0.0,1
M,17,U,4,3,2,0,no,no,no,yes,yes,5,5,14.0,0
M,17,R,4,4,2,0,no,yes,yes,yes,yes,3,4,2.0,0
M,16,U,4,3,1,0,no,no,no,yes,yes,5,3,0.0,1
M,16,U,4,4,1,0,no,no,no,yes,yes,2,5,0.0,0
F,18,U,2,1,3,0,no,yes,yes,yes,yes,4,3,0.0,1
M,16,U,2,1,1,0,no,no,no,yes,yes,3,4,6.0,0
M,17,U,2,3,1,0,no,no,no,yes,yes,2,2,4.0,0
M,22,U,3,1,1,3,no,no,no,no,yes,5,1,,1
M,18,R,3,3,2,1,no,yes,no,yes,yes,3,5,8.0,1
M,16,U,0,2,1,0,no,no,yes,no ,yes,2,5,0.0,0
M,18,U,3,2,1,1,no,no,no,no,yes,5,5,0.0,1
M,16,U,3,3,2,0,yes,yes,no,yes,yes,3,2,6.0,0
M,18,U,2,1,1,1,no,no,no,no,yes,5,5,4.0,1
M,16,R,2,1,1,0,no,no,no,yes,no,2,3,0.0,1
M,17,R,2,1,1,0, yes,no,no,yes,yes,2,5,0.0,0
M,17,U,1,1,1,1,no,yes,no,YES,yes,4,5,2.0,1
F,17,U,4,2,4,0,no,yes,yes,yes,yes,3,4,6.0,0
M,19,U,4,3,2,0,no,yes,no,yes,yes,1,1,12.0,0
M,18,U,2,1,2,0,no,no,no,yes,yes,4,4,8.0,0
F,17,U,2,2,4,0,no,no,yes,yes,yes,1,2,0.0,1
F,18,U,4,3,2,0,no,yes,yes,yes,yes,2,2,21.0,0
M,18,U,4,3,2,0,no,yes,yes,yes,,2,3,2.0,1
M,18,R,3,2,3,0,no,no,no,yes,no,2,3,1.0,0
F,17,U,3,3,3,0,no,no,no,yes,no,3,4,4.0,1
F,18,U,2,2,3,0,no,yes,yes,yes,yes,3,3,0.0,1
M,18,R,3,4,2,0,no,yes,yes,yes,,5,1,13.0,0
M,17,U,3,1,2,0,no,no,yes,yes,yes,4,5,999.0,0
F,18,R,4,4,2,0,no,no,yes,yes,yes,4,4,,0
M,18,U,4,2,2,0,no,yes,yes,yes,yes,5,5,10.0,0
F,18,R,2,1,2,0,no,yes,no,no,yes,5,3,0.0,1
F,19,U,3,3,2,2,no,yes,yes,Yes,yes,5,5,15.0,1
F,18,U,2,3,4,0,no,yes,yes,yes,yes,5,2,4.0,0
F,18,U,1,1,2,0,no,yes,yes,yes,no,3,3,2.0,0
M,17,R,1,2,2,0,no,yes,yes,yes,no,2,1,2.0,0
F,17,U,2,4,2,0,YES,yes,yes,yes,yes,3,1,2.0,0
F,17,U,2,2,2,0,yes,yes,yes,yes,yes,4,5,6.0,0
F,18,R,3,2,2,0,no,no,no,no,yes,1,5,75.0,1
M,18,U,4,4,1,0,no,no,yes,yes,yes,4,3,22.0,1
F,18,U,4,4,2,1,yes,yes,no,yes,yes,4,4,15.0,1
M,18,U,4,3,1,0,no,no,yes,yes,yes,3,1,,0
M,17,U,4,1,1,0,no,no,yes,yes,yes,4,5,30.0,1
M,17,U,3,2,1,1,no,no,no,yes,yes,4,3,19.0,0
F,18,R,1,1,4,0,no,yes,yes,yes,no,2,3,1.0,0
F,18,U,1,1,2,0,yes,no,no,yes,yes,4,4,4.0,0
F,17,U,2,2,2,0,no,yes,no,yes,yes,5,5,4.0,0
M,17,U,1,1,2,0,no,no,yes,yes,yes,3,4,,0
F,18,U,2,2,3,0,no,yes,yes,yes,yes,3,2,5.0,0
F,17,U,1,1,3,0,no,yes,yes,yes,yes,3,3,6.0,0
M,18,U,2,1,3,0,no,no,yes,yes,,4,2,6.0,0
M,18,U,4,4,2,0,no,yes,yes,yes,yes,3,2,9.0,0
M,18,U,4,2,2,0,no,yes,yes,yes,yes,2,5,11.0,0
F,17,U,4,3,3,0,no,yes,yes,yes,yes,2,3,,0
F,18,U,2,1,2,1,no,no,no,yes,yes,3,5,12.0,0
F,17,R,3,1,4,0,no,yes,yes,yes,no,2,3,6.0,0
M,18,R,3,2,3,0,no,yes,yes,yes,yes,2,4,8.0,0
M,17,U,3,3,1,0,no,yes,yes,yes,yes,3,5,4.0,0
F,19,U,4,4,2,0,no,yes,yes,yes,yes,4,2,,1
F,18,U,4,3,2,0,no,yes,yes,yes,,5,2,10.0,1
F,18,U,4,3,4,0,no,yes,yes,yes,yes,3,3,0.0,0
M,18,U,4,4,1,0,Yes,yes,yes,yes,yes,2,1,5.0,0
F,18,U,4,4,2,0,no,yes,no,yes,yes,4,4,14.0,0
M,17,U,4,4,1,0,no,no,yes,yes,yes,1,5,0.0,0
F,17,U,4,2,3,0,no,yes,yes,yes,yes,3,3,0.0,0
F,17,U,3,2,4,0,no,yes,yes,YES,yes,2,5,0.0,0
M,19,U,3,3,2,1,no,yes,no,yes,,4,3,20.0,0
F,18,U,2,4,2,1,YES,yes,yes,yes,yes,3,3,8.0,0
M,20,U,3,2,1,0,no,no,no,yes,no,3,5,0.0,0
M,19,U,4,4,1,1,no,yes,yes,yes,yes,4,4,,1
M,19,R,3,3,2,1,YES,no,no,yes,no,3,5,0.0,0
F,19,U,1,1,2,1,yes,yes,no,yes,yes,3,3,18.0,0
F,19,U,1,2,2,1,no,no,no,yes,no,4,3,0.0,1
F,19,U,2,1,2,0,no,yes,no,no,yes,1,2,-1.0,0
M,19,U,1,2,2,1,no,no,no,yes,yes,2,4,3.0,0
F,19,U,3,2,2,1,no,yes,yes,yes,yes,2,1,22.0,0
F,19,U,1,1,3,2,no,no,no,yes,yes,2,3,14.0,0
F,19,R,2,3,3,1,no,no,no,yes,yes,2,3,40.0,0
F,18,U,2,1,2,0,Yes,yes,yes,yes,yes,3,1,0.0,1
F,18,U,4,3,3,0,no,yes,yes,yes,yes,4,5,9.0,1
F,17,R,3,4,3,0,no,yes,yes,yes,yes,4,5,0.0,0
F,18,U,4,4,2,0,no,yes,yes,yes,yes,4,5,2.0,0
F,17,U,4,3,2,0,no,yes,yes,yes,yes,2,5,23.0,0
F,17,U,2,2,2,0,no,yes,no,yes,no,2,3,12.0,1
F,17,R,2,2,3,0,no,yes,yes,yes,yes,2,3,3.0,0
F,17,U,3,1,3,0,no,yes,no,yes,yes,3,5,1.0,0
F,17,U,0,2,3,0,no,no,no,yes,yes,3,2,0.0,0
M,18,U,4,4,3,0,no,no,no,Yes,yes,3,3,3.0,0
M,17,U,3,3,1,0,no,no,no,yes,yes,5,5,3.0,0
M,17,R,2,2,1,0,no,yes,no,yes,yes,5,4,,0
F,17,U,4,4,3,0,no,yes,yes,yes,yes,4,4,7.0,1
F,17,U,4,4,3,0,no,yes,yes,yes,yes,3,4,4.0,0
M,18,U,2,2,4,0,no,yes,no,yes,yes,5,5,,1
F,17,R,2,4,3,0,Yes,yes,no,yes,yes,3,5,7.0,0
F,18,U,3,3,2,0,no,no,no,yes,yes,4,4,0.0,1
F,18,U,2,2,2,0,no,no,no,yes,yes,3,2,0.0,1
F,18,R,2,2,4,0,no,no,no,yes,no,4,4,0.0,1
F,17,U,3,4,3,0,no,no,no,yes,yes,5,5,16.0,0
F,19,R,3,1,3,1,no,no,yes,yes,no,3,5,12.0,0
F,17,U,3,2,2,0,no,yes,yes,yes,yes,2,2,0.0,1
F,18,U,3,3,4,0,no,yes,no,no ,yes,3,1,7.0,0
F,17,R,3,2,2,0,no,yes,yes,yes,yes,3,2,4.0,0
F,19,U,2,1,3,1,no,no,yes,yes,yes,4,3,4.0,0
M,18,U,4,4,2,1,no,yes,no,yes,yes,3,2,0.0,1
M,18,U,3,4,2,0,no,no,no,yes,yes,3,5,11.0,0
F,17,U,2,2,2,1,no,yes,no,yes,yes,1,4,0.0,1
F,18,U,2,3,3,0,no,yes,no,yes,yes,3,3,4.0,0
F,18,U,3,2,3,0,no,no,no,yes,yes,3,1,7.0,0
M,18,R,4,3,3,0,no,no,no,yes,yes,2,4,9.0,0
M,18,U,4,3,3,0,no,yes,yes,yes,,5,5,0.0,1
F,17,U,4,3,3,0,no,yes,yes,yes,yes,3,4,0.0,0
M,18,R,3,2,1,1,no,yes,no,yes,yes,5,5,10.0,0
M,19,R,1,1,2,3,no,no,no,yes,yes,4,2,8.0,1
M,17,U,3,3,2,0,no,yes,yes,yes,yes,4,3,2.0,0
M,18,U,1,3,1,1,no,no,no,no,yes,3,3,7.0,1
M,19,R,1,1,1,1,no,yes,no,yes,yes,4,5,4.0,1
M,17,R,4,3,2,0,no,yes,yes,yes,yes,5,2,4.0,0
F,18,U,3,3,2,0,no,yes,no,Yes,no,4,5,0.0,1
F,17,R,4,4,2,0,no,yes,yes,yes,yes,3,5,4.0,0
F,17,U,3,2,2,0,no,no,no,yes,no,3,5,2.0,0
M,18,U,1,1,1,0,no,no,no,yes,yes,2,3,4.0,0
F,18,U,1,1,3,0,no,no,no,yes,yes,2,4,0.0,0
F,18,R,1,4,2,0,no,no,no,yes,no,4,5,0.0,0
M,18,R,1,1,2,1,no,no,no,no,no,3,5,2.0,0
F,18,U,3,3,2,0,no,yes,no,yes,yes,2,3,0.0,0
F,17,U,4,4,2,0,no,yes,yes,yes,yes,4,1,0.0,0
F,17,R,1,2,2,0,no,no,no,yes,no,2,3,0.0,0
M,18,R,1,3,2,0,no,yes,yes,yes,no,4,3,4.0,0
M,18,U,4,4,3,0,no,no,yes,yes,yes,2,5,0.0,0
F,17,R,1,1,1,1,no,yes,yes,yes,yes,1,1,0.0,1
F,18,U,2,3,1,0,no,yes,yes,yes,yes,3,4,0.0,0
F,18,R,4,4,2,0,no,yes,yes,yes,yes,2,5,10.0,0
F,19,U,3,2,2,2,no,no,no,yes,no,2,3,4.0,1
M,18,R,1,2,1,0,no,yes,yes,no,yes,3,3,3.0,0
F,17,U,2,2,3,0,no,no,no,yes,no,3,3,8.0,0
F,17,R,1,2,1,0,no,no,no,yes,yes,5,1,14.0,1
F,18,R,4,4,3,0,no,no,no,yes,,4,1,0.0,0
F,18,R,1,1,3,0,no,no,no,yes,yes,2,4,2.0,0
